nu,I,tau,Gamma',E',J',Ka',Kc',GammaRot',v1',v2',v3',v4',v5',v6',GammaVib',,"Gamma ""","E""","J""","GammaVib""","Ka""","Kc""","GammaRot""",
6515.883363,1.21E-24,1.64E-02,B1,7170.370488,13,7,7,B1,0,0,1,1,0,2,A1,<-,B2,654.487125,14,A1,7,8,B2,
6515.928815,2.31E-24,9.94E-03,A2,6636.556032,9,3,7,B1,3,0,0,1,0,0,B2,<-,A1,120.627217,8,A1,2,6,A1,
6516.443439,2.30E-24,9.86E-03,A1,6636.577363,9,3,6,B2,3,0,0,1,0,0,B2,<-,A2,120.133924,8,A1,2,7,A2,
6517.13451,1.62E-24,2.61E-03,B1,6638.0765,8,0,8,A1,0,1,0,0,2,1,B1,<-,B2,120.94199,9,A1,1,8,B2,
6517.25913,1.25E-24,1.26E-02,A1,6699.151741,5,3,3,B1,0,0,2,0,0,1,B1,<-,A2,181.892611,6,A1,4,3,A2,
6517.25986,1.25E-24,1.26E-02,A2,6699.152479,5,3,2,B2,0,0,2,0,0,1,B1,<-,A1,181.892619,6,A1,4,2,A1,
6517.378049,2.54E-24,7.85E-03,B2,6882.951979,14,2,13,A2,0,0,2,0,0,1,B1,<-,B1,365.57393,15,A1,3,13,B1,
6517.661766,2.14E-24,9.27E-03,A1,6660.380077,10,3,8,B2,3,0,0,1,0,0,B2,<-,A2,142.718311,9,A1,2,7,A2,
6517.701165,2.25E-24,7.88E-03,B1,6922.22483,15,0,15,A2,0,1,0,1,0,2,B2,<-,B2,404.523665,16,A1,3,14,B2,
6517.722547,1.33E-24,2.96E-03,B2,6678.898594,7,3,4,B2,0,0,1,1,0,2,A1,<-,B1,161.176047,8,A1,3,5,B1,
6517.8011,1.66E-24,3.68E-03,B1,6678.967047,7,3,5,B1,0,0,1,1,0,2,A1,<-,B2,161.165947,8,A1,3,6,B2,
6518.469688,2.11E-24,9.14E-03,A2,6660.418752,10,3,7,B1,3,0,0,1,0,0,B2,<-,A1,141.949064,9,A1,2,8,A1,
6518.687273,2.11E-24,3.24E-03,B2,6739.862233,14,2,12,A1,3,0,0,1,0,0,B2,<-,B1,221.17496,13,A1,1,13,B1,
6519.108713,1.32E-24,1.63E-02,B1,7139.636927,12,7,5,B1,0,0,1,1,0,2,A1,<-,B2,620.528214,13,A1,7,6,B2,
6519.108722,1.32E-24,1.63E-02,B2,7139.636936,12,7,6,B2,0,0,1,1,0,2,A1,<-,B1,620.528214,13,A1,7,7,B1,
6519.26004,1.92E-24,8.58E-03,A2,6686.576062,11,3,9,B1,3,0,0,1,0,0,B2,<-,A1,167.316022,10,A1,2,8,A1,
6519.393103,1.17E-24,3.10E-03,B2,6866.717405,15,2,13,A2,0,1,0,0,2,1,B1,<-,B1,347.324302,16,A1,1,15,B1,
6519.724832,1.21E-24,1.38E-02,A2,6687.041234,4,3,2,B2,0,0,2,0,0,1,B1,<-,A1,167.316402,5,A1,4,2,A1,
6519.725017,1.21E-24,1.38E-02,A1,6687.04142,4,3,1,B1,0,0,2,0,0,1,B1,<-,A2,167.316403,5,A1,4,1,A2,
6520.082697,4.41E-24,1.55E-02,B2,6925.177879,15,2,13,A2,0,0,2,0,0,1,B1,<-,B1,405.095182,16,A1,3,13,B1,
6520.250574,1.45E-24,3.37E-03,B1,6661.968298,6,3,3,B1,0,0,1,1,0,2,A1,<-,B2,141.717724,7,A1,3,4,B2,
6520.263606,1.70E-24,2.78E-03,B2,6618.693934,7,0,7,A2,0,1,0,0,2,1,B1,<-,B1,98.430328,8,A1,1,7,B1,
6520.279289,1.57E-24,3.64E-03,B2,6661.992416,6,3,4,B2,0,0,1,1,0,2,A1,<-,B1,141.713127,7,A1,3,5,B1,
6520.40102,1.00E-24,3.36E-03,B1,6792.746187,8,4,4,A1,0,0,2,0,0,1,B1,<-,B2,272.345167,7,A1,5,2,B2,
6520.408788,1.02E-24,3.43E-03,B2,6792.753955,8,4,5,A2,0,0,2,0,0,1,B1,<-,B1,272.345167,7,A1,5,3,B1,
6520.467243,1.88E-24,8.37E-03,A1,6686.641108,11,3,8,B2,3,0,0,1,0,0,B2,<-,A2,166.173865,10,A1,2,9,A2,
6520.684518,1.05E-24,1.13E-02,A2,6675.855014,4,4,1,A2,0,0,1,1,0,2,A1,<-,A1,155.170496,4,A1,4,0,A1,
6520.684519,1.05E-24,1.13E-02,A1,6675.855014,4,4,0,A1,0,0,1,1,0,2,A1,<-,A2,155.170495,4,A1,4,1,A2,
6520.697184,3.42E-24,9.54E-03,B1,6849.757161,13,2,12,A1,0,0,2,0,0,1,B1,<-,B2,329.059977,14,A1,3,12,B2,
6520.705532,1.67E-24,7.85E-03,A1,6715.137754,12,3,10,B2,3,0,0,1,0,0,B2,<-,A2,194.432222,11,A1,2,9,A2,
6520.858321,1.95E-24,6.03E-03,B2,6886.432251,14,0,14,A1,0,1,0,1,0,2,B2,<-,B1,365.57393,15,A1,3,13,B1,
6521.98166,1.41E-24,7.06E-03,A2,6746.058887,13,3,11,B1,3,0,0,1,0,0,B2,<-,A1,224.077227,12,A1,2,10,A1,
6522.183129,1.16E-24,1.61E-02,A1,6677.353624,3,3,1,B1,0,0,2,0,0,1,B1,<-,A2,155.170495,4,A1,4,1,A2,
6522.183155,1.16E-24,1.61E-02,A2,6677.353651,3,3,0,B2,0,0,2,0,0,1,B1,<-,A1,155.170496,4,A1,4,0,A1,
6522.259455,4.75E-24,1.47E-02,B1,6888.227888,14,2,12,A1,0,0,2,0,0,1,B1,<-,B2,365.968433,15,A1,3,12,B2,
6522.360591,1.39E-24,1.61E-02,B2,7111.355113,11,7,4,B2,0,0,1,1,0,2,A1,<-,B1,588.994522,12,A1,7,5,B1,
6522.360594,1.39E-24,1.61E-02,B1,7111.355116,11,7,5,B1,0,0,1,1,0,2,A1,<-,B2,588.994522,12,A1,7,6,B2,
6522.435657,1.61E-24,7.50E-03,A2,6715.239535,12,3,9,B1,3,0,0,1,0,0,B2,<-,A1,192.803878,11,A1,2,10,A1,
6522.511188,1.12E-24,3.71E-03,B2,6814.283729,9,4,5,A2,0,0,2,0,0,1,B1,<-,B1,291.772541,8,A1,5,3,B1,
6522.535469,1.21E-24,4.01E-03,B1,6814.308009,9,4,6,A1,0,0,2,0,0,1,B1,<-,B2,291.77254,8,A1,5,4,B2,
6522.662122,1.23E-24,2.88E-03,B1,6830.356934,14,2,12,A1,0,1,0,0,2,1,B1,<-,B2,307.694812,15,A1,1,14,B2,
6522.702876,1.65E-24,2.78E-03,B1,6776.518776,15,2,13,A2,3,0,0,1,0,0,B2,<-,B2,253.8159,14,A1,1,14,B2,
6522.745968,1.34E-24,3.39E-03,B2,6647.442926,5,3,2,B2,0,0,1,1,0,2,A1,<-,B1,124.696958,6,A1,3,3,B1,
6522.755399,1.38E-24,3.48E-03,B1,6647.450517,5,3,3,B1,0,0,1,1,0,2,A1,<-,B2,124.695118,6,A1,3,4,B2,
6523.077009,1.14E-24,6.24E-03,A1,6779.336093,14,3,12,B2,3,0,0,1,0,0,B2,<-,A2,256.259084,13,A1,2,11,A2,
6523.337485,1.71E-24,2.93E-03,B1,6601.740707,6,0,6,A1,0,1,0,0,2,1,B1,<-,B2,78.403222,7,A1,1,6,B2,
6523.779292,3.94E-24,1.00E-02,B2,6818.76238,12,2,11,A2,0,0,2,0,0,1,B1,<-,B1,294.983088,13,A1,3,11,B1,
6524.037829,1.45E-24,4.04E-03,B1,6853.097806,13,0,13,A2,0,1,0,1,0,2,B2,<-,B2,329.059977,14,A1,3,12,B2,
6524.373022,1.30E-24,6.43E-03,A1,6746.207263,13,3,10,B2,3,0,0,1,0,0,B2,<-,A2,221.834241,12,A1,2,11,A2,
6524.413074,5.05E-24,1.41E-02,B2,6853.737962,13,2,11,A2,0,0,2,0,0,1,B1,<-,B1,329.324888,14,A1,3,11,B1,
6524.65758,1.33E-24,4.42E-03,B2,6838.286999,10,4,7,A2,0,0,2,0,0,1,B1,<-,B1,313.629419,9,A1,5,5,B1,
6525.179804,8.02E-24,2.08E-02,B1,6613.419028,4,4,1,A2,3,0,0,1,0,0,B2,<-,B2,88.239224,3,A1,3,0,B2,
6525.179826,8.02E-24,2.08E-02,B2,6613.419028,4,4,0,A1,3,0,0,1,0,0,B2,<-,B1,88.239202,3,A1,3,1,B1,
6525.224055,1.07E-24,3.08E-03,B1,6635.335496,4,3,1,B1,0,0,1,1,0,2,A1,<-,B2,110.111441,5,A1,3,2,B2,
6525.226541,1.08E-24,3.11E-03,B2,6635.337368,4,3,2,B2,0,0,1,1,0,2,A1,<-,B1,110.110827,5,A1,3,3,B1,
6525.643196,1.41E-24,1.55E-02,B1,7085.529339,10,7,3,B1,0,0,1,1,0,2,A1,<-,B2,559.886143,11,A1,7,4,B2,
6525.643198,1.41E-24,1.55E-02,B2,7085.529341,10,7,4,B2,0,0,1,1,0,2,A1,<-,B1,559.886143,11,A1,7,5,B1,
6525.959586,1.26E-24,2.65E-03,B2,6796.431504,13,2,11,A2,0,1,0,0,2,1,B1,<-,B1,270.471918,14,A1,1,13,B1,
6526.34737,1.66E-24,3.08E-03,B2,6587.214259,5,0,5,A2,0,1,0,0,2,1,B1,<-,B1,60.866889,6,A1,1,5,B1,
6526.571391,5.31E-24,1.36E-02,B1,6821.726901,12,2,10,A1,0,0,2,0,0,1,B1,<-,B2,295.15551,13,A1,3,10,B2,
6526.701642,4.37E-24,1.04E-02,B1,6790.045662,11,2,10,A1,0,0,2,0,0,1,B1,<-,B2,263.34402,12,A1,3,10,B2,
6526.774279,1.37E-24,4.70E-03,B1,6864.690464,11,4,8,A1,0,0,2,0,0,1,B1,<-,B2,337.916185,10,A1,5,6,B2,
6526.87656,1.11E-24,3.81E-03,B2,6864.792748,11,4,7,A2,0,0,2,0,0,1,B1,<-,B1,337.916188,10,A1,5,5,B1,
6526.948441,1.20E-24,2.26E-03,B2,6815.704664,16,2,14,A1,3,0,0,1,0,0,B2,<-,B1,288.756223,15,A1,1,15,B1,
6527.367351,7.81E-24,1.74E-02,B2,6625.32669,5,4,2,A1,3,0,0,1,0,0,B2,<-,B1,97.959339,4,A1,3,1,B1,
