vibrational_f	angmom_total_f	vibrational_i	angmom_total_i	transition_wavenumber	unc	lambda	unc	einstein_coefficient	unc	Atot	energy_f	unc	Tu	degeneracy
1	16	0	18	631.448566	4E-06	15.836602597	1E-07	1.93E-10	1.93E-10	1.91E-06	-19181.814039	9E-05	24367.5	33
1	16	0	16	3450.265811	2E-05	2.898327418	1E-08	1.21E-07	2.17E-07	1.91E-06	-19181.814039	9E-05	24367.5	33
1	16	0	14	6135.243383	4E-05	1.629927189	1E-08	8.09E-09	8.09E-09	1.91E-06	-19181.814039	9E-05	24367.5	33
1	16	1	14	2537.034947	2E-05	3.941609087	3E-08	1.69E-06	1.69E-06	1.91E-06	-19181.814039	9E-05	24367.5	33
1	17	0	19	503.085269	5E-06	19.877346081	2E-07	6.62E-11	6.62E-11	2.26E-06	-17864.652223	8E-05	26262.6	105
1	17	0	17	3371.864751	2E-05	2.965718004	1E-08	1.08E-07	2.16E-07	2.26E-06	-17864.652223	8E-05	26262.6	105
1	17	0	15	6129.598231	4E-05	1.631428296	1E-08	4.18E-08	4.18E-08	2.26E-06	-17864.652223	8E-05	26262.6	105
1	17	1	15	2603.823523	2E-05	3.840506053	3E-08	2E-06	2E-06	2.26E-06	-17864.652223	8E-05	26262.6	105
1	18	0	20	382.546308	5E-06	26.140626091	4E-07	1.79E-11	1.79E-11	2.64E-06	-16522.53487	7E-05	28193.6	37
1	18	0	18	3290.727734	2E-05	3.038841499	1E-08	9.62E-08	2.16E-07	2.64E-06	-16522.53487	7E-05	28193.6	37
1	18	0	16	6109.54498	4E-05	1.636783105	1E-08	1.03E-07	1.03E-07	2.64E-06	-16522.53487	7E-05	28193.6	37
1	18	1	16	2659.279169	2E-05	3.760417528	3E-08	2.32E-06	2.32E-06	2.64E-06	-16522.53487	7E-05	28193.6	37
1	19	0	21	269.40065	6E-06	37.119435309	8E-07	3.3E-12	3.3E-12	3.04E-06	-15160.757101	6E-05	30152.9	117
1	19	0	19	3206.980391	2E-05	3.118198049	2E-08	8.45E-08	2.16E-07	3.04E-06	-15160.757101	6E-05	30152.9	117
1	19	0	17	6075.759873	4E-05	1.645884664	1E-08	1.9E-07	1.9E-07	3.04E-06	-15160.757101	6E-05	30152.9	117
1	19	1	17	2703.895122	2E-05	3.698368298	3E-08	2.64E-06	2.64E-06	3.04E-06	-15160.757101	6E-05	30152.9	117
1	20	0	22	163.200189	6E-06	61.274438843	2E-06	2.85E-13	2.85E-13	3.45E-06	-13784.36731	5E-05	32133.2	41
1	20	0	20	3120.713868	1E-05	3.204395027	1E-08	7.34E-08	2.18E-07	3.45E-06	-13784.36731	5E-05	32133.2	41
1	20	0	18	6028.895294	4E-05	1.658678665	1E-08	3.03E-07	3.03E-07	3.45E-06	-13784.36731	5E-05	32133.2	41
1	20	1	18	2738.16756	2E-05	3.65207745	3E-08	2.93E-06	2.93E-06	3.45E-06	-13784.36731	5E-05	32133.2	41
1	21	0	23	63.486353	6E-06	157.514166864	2E-05	2.7E-15	2.7E-15	3.86E-06	-12398.17724	4E-05	34127.6	129
1	21	0	21	3031.980512	1E-05	3.298174233	1E-08	6.3E-08	2.2E-07	3.86E-06	-12398.17724	4E-05	34127.6	129
1	21	0	19	5969.560253	4E-05	1.675165268	1E-08	4.4E-07	4.4E-07	3.86E-06	-12398.17724	4E-05	34127.6	129
1	21	1	19	2762.579861	2E-05	3.619804857	3E-08	3.2E-06	3.2E-06	3.86E-06	-12398.17724	4E-05	34127.6	129
1	22	0	22	2940.788783	1E-05	3.400448226	1E-08	5.33E-08	2.23E-07	4.25E-06	-11006.778717	4E-05	36129.5	45
1	22	0	20	5898.302461	3E-05	1.695403053	1E-08	5.96E-07	5.96E-07	4.25E-06	-11006.778717	4E-05	36129.5	45
1	22	1	20	2777.588594	2E-05	3.600245199	3E-08	3.43E-06	3.43E-06	4.25E-06	-11006.778717	4E-05	36129.5	45
1	23	0	23	2847.096861	1E-05	3.512349768	1E-08	4.45E-08	2.27E-07	4.61E-06	-9614.566732	3E-05	38132.6	141
1	23	0	21	5815.59102	3E-05	1.719515689	1E-08	7.69E-07	7.69E-07	4.61E-06	-9614.566732	3E-05	38132.6	141
1	23	1	21	2783.610508	2E-05	3.592456621	3E-08	3.61E-06	3.61E-06	4.61E-06	-9614.566732	3E-05	38132.6	141
1	24	0	24	2750.804239	1E-05	3.635300491	2E-08	3.64E-08	2.31E-07	4.93E-06	-8225.769056	2E-05	40130.8	49
1	24	0	22	5721.798443	3E-05	1.747702248	9E-09	9.53E-07	9.53E-07	4.93E-06	-8225.769056	2E-05	40130.8	49
1	24	1	22	2781.009661	2E-05	3.595816347	2E-08	3.74E-06	3.74E-06	4.93E-06	-8225.769056	2E-05	40130.8	49
1	24	2	22	69.25593	0.0003	144.39196759	0.0007	8.12E-15	8.12E-15	4.93E-06	-8225.769056	2E-05	40130.8	49
1	25	0	25	2651.740199	1E-05	3.771108498	2E-08	2.92E-08	2.36E-07	5.2E-06	-6844.483272	8E-06	42118.2	153
1	25	0	23	5617.180321	3E-05	1.780252623	9E-09	1.14E-06	1.14E-06	5.2E-06	-6844.483272	8E-06	42118.2	153
1	25	1	23	2770.08346	2E-05	3.609999534	2E-08	3.82E-06	3.82E-06	5.2E-06	-6844.483272	8E-06	42118.2	153
1	25	2	23	154.610614	0.0003	64.678612556	0.0001	4.75E-13	4.75E-13	5.2E-06	-6844.483272	8E-06	42118.2	153
1	26	0	26	2549.647489	1E-05	3.922110819	1E-08	2.29E-08	2.4E-07	5.4E-06	-5474.723111	3E-06	44088.9	53
1	26	0	24	5501.850184	3E-05	1.817570393	9E-09	1.34E-06	1.34E-06	5.4E-06	-5474.723111	3E-06	44088.9	53
1	26	1	24	2751.045945	2E-05	3.634981094	2E-08	3.83E-06	3.83E-06	5.4E-06	-5474.723111	3E-06	44088.9	53
1	26	2	24	235.320032	0.0003	42.495319735	5E-05	4.08E-12	4.08E-12	5.4E-06	-5474.723111	3E-06	44088.9	53
1	27	0	27	2444.15844	9E-06	4.091387791	1E-08	1.74E-08	2.45E-07	5.54E-06	-4120.477578	9E-06	46037.4	165
1	27	0	25	5375.745893	3E-05	1.860206974	9E-09	1.53E-06	1.53E-06	5.54E-06	-4120.477578	9E-06	46037.4	165
1	27	1	25	2724.005694	2E-05	3.671064279	2E-08	3.77E-06	3.77E-06	5.54E-06	-4120.477578	9E-06	46037.4	165
1	27	2	25	311.86697	0.0002	32.064953849	2E-05	1.75E-11	1.75E-11	5.54E-06	-4120.477578	9E-06	46037.4	165
